,time,type,chap,detaT
5198,2014-09-15 19:31:39,seq_goto,chap1,0
5235,2014-09-15 19:34:57,problem_check,chap1,0
5236,2014-09-15 19:34:58,problem_graded,chap1,0
5239,2014-09-15 19:35:05,problem_check,chap1,0
5240,2014-09-15 19:35:05,problem_graded,chap1,0
5246,2014-09-15 19:35:08,problem_check,chap1,0
5247,2014-09-15 19:35:08,problem_graded,chap1,0
5248,2014-09-15 19:35:11,problem_show,chap1,0
5249,2014-09-15 19:35:16,seq_goto,chap1,0
5250,2014-09-15 19:35:16,video_event,chap1,0
5326,2014-09-15 19:40:38,seq_goto,chap1,0
5332,2014-09-15 19:41:03,problem_check,chap1,0
5333,2014-09-15 19:41:04,problem_graded,chap1,0
5334,2014-09-15 19:41:04,problem_check,chap1,0
5335,2014-09-15 19:41:05,problem_graded,chap1,0
5336,2014-09-15 19:41:05,problem_check,chap1,0
5337,2014-09-15 19:41:06,problem_graded,chap1,0
5338,2014-09-15 19:41:07,problem_show,chap1,0
5339,2014-09-15 19:41:10,seq_goto,chap1,0
5340,2014-09-15 19:41:11,video_event,chap1,0
5398,2014-09-15 19:47:44,seq_goto,chap1,0
5424,2014-09-15 19:50:23,problem_check,chap1,0
5425,2014-09-15 19:50:23,problem_graded,chap1,0
5515,2014-09-15 19:56:38,problem_check,chap1,0
5516,2014-09-15 19:56:39,problem_graded,chap1,0
5517,2014-09-15 19:56:52,problem_check,chap1,0
5518,2014-09-15 19:56:52,problem_graded,chap1,0
5520,2014-09-15 19:56:58,problem_show,chap1,0
5522,2014-09-15 19:57:01,seq_goto,chap1,0
5523,2014-09-15 19:57:02,video_event,chap1,0
5620,2014-09-15 20:02:37,seq_goto,chap1,0
5629,2014-09-15 20:03:14,problem_check,chap1,0
5630,2014-09-15 20:03:14,problem_graded,chap1,0
5631,2014-09-15 20:03:15,problem_show,chap1,0
5632,2014-09-15 20:03:17,problem_show,chap1,0
5639,2014-09-15 20:03:22,seq_goto,chap1,0
5640,2014-09-15 20:03:22,video_event,chap1,0
5726,2014-09-15 20:08:06,seq_goto,chap1,0
5738,2014-09-15 20:08:41,problem_check,chap1,0
5739,2014-09-15 20:08:42,problem_graded,chap1,0
5740,2014-09-15 20:08:44,problem_check,chap1,0
5741,2014-09-15 20:08:45,problem_graded,chap1,0
5742,2014-09-15 20:08:46,problem_check,chap1,0
5743,2014-09-15 20:08:46,problem_graded,chap1,0
5744,2014-09-15 20:08:49,seq_goto,chap1,0
5745,2014-09-15 20:08:49,video_event,chap1,0
5885,2014-09-15 20:14:30,seq_goto,chap1,0
5890,2014-09-15 20:14:44,problem_check,chap1,0
5892,2014-09-15 20:14:44,problem_graded,chap1,0
5893,2014-09-15 20:14:46,problem_check,chap1,0
5894,2014-09-15 20:14:46,problem_graded,chap1,0
5895,2014-09-15 20:14:46,problem_check,chap1,0
5896,2014-09-15 20:14:47,problem_graded,chap1,0
5897,2014-09-15 20:14:48,seq_goto,chap1,0
5898,2014-09-15 20:14:49,video_event,chap1,0
5906,2014-09-15 20:15:09,seq_next,chap1,0
5911,2014-09-15 20:15:15,seq_goto,chap1,0
5912,2014-09-15 20:15:15,video_event,chap1,0
6006,2014-09-15 20:19:51,seq_next,chap1,0
6025,2014-09-15 20:20:43,seq_goto,chap1,0
6026,2014-09-15 20:20:43,video_event,chap1,0
6089,2014-09-15 20:23:38,seq_next,chap1,0
6096,2014-09-15 20:23:44,problem_check,chap1,0
6097,2014-09-15 20:23:44,problem_graded,chap1,0
6098,2014-09-15 20:23:45,problem_check,chap1,0
6099,2014-09-15 20:23:46,problem_graded,chap1,0
6100,2014-09-15 20:23:47,problem_check,chap1,0
6101,2014-09-15 20:23:47,problem_graded,chap1,0
6102,2014-09-15 20:23:50,page_close,chap1,0
6103,2014-09-15 20:23:50,video_event,chap1,0
6264,2014-09-15 20:31:53,seq_goto,chap1,0
6275,2014-09-15 20:32:15,problem_check,chap1,0
6276,2014-09-15 20:32:16,problem_graded,chap1,0
6277,2014-09-15 20:32:18,problem_show,chap1,0
6278,2014-09-15 20:32:21,seq_goto,chap1,0
6279,2014-09-15 20:32:22,video_event,chap1,0
6357,2014-09-15 20:35:09,seq_goto,chap1,0
6380,2014-09-15 20:35:44,problem_check,chap1,0
6381,2014-09-15 20:35:44,problem_graded,chap1,0
6391,2014-09-15 20:36:00,problem_check,chap1,0
6392,2014-09-15 20:36:00,problem_graded,chap1,0
6398,2014-09-15 20:36:13,problem_check,chap1,0
6399,2014-09-15 20:36:14,problem_graded,chap1,0
6400,2014-09-15 20:36:15,problem_show,chap1,0
6407,2014-09-15 20:36:21,problem_show,chap1,0
6418,2014-09-15 20:36:31,page_close,chap1,0
6419,2014-09-15 20:36:31,video_event,chap1,0
6518,2014-09-15 20:38:59,seq_goto,chap1,0
6529,2014-09-15 20:39:15,problem_check,chap1,0
6530,2014-09-15 20:39:16,problem_graded,chap1,0
6534,2014-09-15 20:39:19,seq_goto,chap1,0
6535,2014-09-15 20:39:19,video_event,chap1,0
6803,2014-09-15 20:48:47,seq_goto,chap1,0
6807,2014-09-15 20:49:06,problem_check,chap1,0
6808,2014-09-15 20:49:06,problem_graded,chap1,0
6809,2014-09-15 20:49:07,problem_show,chap1,0
6812,2014-09-15 20:49:11,page_close,chap1,0
6813,2014-09-15 20:49:11,video_event,chap1,0
6915,2014-09-15 20:54:44,page_close,chap1,0
6968,2014-09-15 20:57:17,page_close,chap1,0
23669,2014-09-17 20:53:27,page_close,chap1,2
25033,2014-09-17 23:17:55,page_close,chap1,2
28138,2014-09-18 21:34:58,page_close,chap1,3
28142,2014-09-18 21:35:14,page_close,chap1,3
52605,2014-09-22 19:41:32,page_close,chap1,7
52628,2014-09-22 19:44:10,seq_goto,chap2,0
52629,2014-09-22 19:44:15,video_event,chap2,0
52637,2014-09-22 19:46:32,seq_goto,chap2,0
52638,2014-09-22 19:46:33,video_event,chap2,0
52683,2014-09-22 19:50:34,seq_goto,chap2,0
52687,2014-09-22 19:50:51,problem_check,chap2,0
52688,2014-09-22 19:50:53,problem_graded,chap2,0
52689,2014-09-22 19:50:53,problem_show,chap2,0
52693,2014-09-22 19:50:57,seq_goto,chap2,0
52694,2014-09-22 19:50:59,video_event,chap2,0
52744,2014-09-22 19:54:20,seq_goto,chap2,0
52745,2014-09-22 19:54:21,video_event,chap2,0
52771,2014-09-22 19:56:46,seq_goto,chap2,0
52772,2014-09-22 19:56:52,video_event,chap2,0
52778,2014-09-22 19:57:30,seq_goto,chap2,0
52779,2014-09-22 19:57:41,problem_check,chap2,0
52780,2014-09-22 19:57:41,problem_graded,chap2,0
52781,2014-09-22 19:57:48,problem_show,chap2,0
52782,2014-09-22 19:57:55,page_close,chap2,0
52783,2014-09-22 19:57:59,video_event,chap2,0
52786,2014-09-22 19:58:47,page_close,chap2,0
52792,2014-09-22 19:59:01,problem_check,chap2,0
52793,2014-09-22 19:59:03,problem_graded,chap2,0
52798,2014-09-22 19:59:17,problem_check,chap2,0
52799,2014-09-22 19:59:18,problem_graded,chap2,0
52801,2014-09-22 19:59:23,problem_check,chap2,0
52802,2014-09-22 19:59:25,problem_graded,chap2,0
52803,2014-09-22 19:59:29,problem_check,chap2,0
52805,2014-09-22 19:59:34,problem_graded,chap2,0
52808,2014-09-22 19:59:35,problem_check,chap2,0
52809,2014-09-22 19:59:36,problem_graded,chap2,0
52811,2014-09-22 19:59:46,problem_check,chap2,0
52812,2014-09-22 19:59:47,problem_graded,chap2,0
52819,2014-09-22 20:00:24,problem_check,chap2,0
52820,2014-09-22 20:00:27,problem_graded,chap2,0
52831,2014-09-22 20:01:07,problem_check,chap2,0
52840,2014-09-22 20:01:57,problem_check,chap2,0
52842,2014-09-22 20:02:12,problem_check,chap2,0
52843,2014-09-22 20:02:32,problem_check,chap2,0
52844,2014-09-22 20:02:32,problem_graded,chap2,0
52845,2014-09-22 20:03:07,problem_check,chap2,0
52846,2014-09-22 20:03:07,problem_graded,chap2,0
52847,2014-09-22 20:03:24,problem_check,chap2,0
52848,2014-09-22 20:03:24,problem_graded,chap2,0
52849,2014-09-22 20:03:40,page_close,chap2,0
52854,2014-09-22 20:04:09,page_close,chap2,0
109451,2014-09-28 22:05:24,page_close,chap2,6
109533,2014-09-28 22:14:30,seq_goto,chap2,6
109535,2014-09-28 22:14:58,problem_check,chap2,6
109536,2014-09-28 22:14:59,problem_graded,chap2,6
109539,2014-09-28 22:15:17,problem_check,chap2,6
109540,2014-09-28 22:15:18,problem_graded,chap2,6
109542,2014-09-28 22:15:20,problem_show,chap2,6
109543,2014-09-28 22:15:23,problem_check,chap2,6
109544,2014-09-28 22:15:23,problem_graded,chap2,6
109546,2014-09-28 22:15:45,page_close,chap2,6
109547,2014-09-28 22:15:45,video_event,chap2,6
116664,2014-09-29 20:32:06,page_close,chap2,7
116693,2014-09-29 20:36:22,seq_goto,chap2,7
116705,2014-09-29 20:37:00,problem_check,chap2,7
116706,2014-09-29 20:37:00,problem_graded,chap2,7
116709,2014-09-29 20:37:02,problem_show,chap2,7
116710,2014-09-29 20:37:05,seq_goto,chap2,7
116711,2014-09-29 20:37:05,video_event,chap2,7
116784,2014-09-29 20:43:55,seq_goto,chap2,7
116786,2014-09-29 20:44:32,problem_check,chap2,7
116787,2014-09-29 20:44:32,problem_graded,chap2,7
116788,2014-09-29 20:44:34,problem_show,chap2,7
116789,2014-09-29 20:44:39,page_close,chap2,7
116790,2014-09-29 20:44:39,video_event,chap2,7
124525,2014-09-30 21:47:29,page_close,chap2,8
124580,2014-09-30 21:52:05,seq_goto,chap2,8
124584,2014-09-30 21:52:12,problem_check,chap2,8
124585,2014-09-30 21:52:13,problem_graded,chap2,8
124589,2014-09-30 21:52:15,problem_show,chap2,8
124595,2014-09-30 21:52:27,seq_goto,chap2,8
